AMNToken-28-2.sol;102;require((_value <= allowed[_from][msg.sender]));
AMNToken-28-3.sol;103;balances[_from] = balances[_from].sub(_value);
AMNToken-3-1.sol;12;uint256 c;
AMNToken-3-2.sol;18;uint256 c;
AMNToken-3-3.sol;28;uint256 c;
AMNToken-3-4.sol;128;uint oldValue;
AMNToken-35-1.sol;64;require((_value <= balances[msg.sender]));
AMNToken-35-2.sol;65;balances[msg.sender] = balances[msg.sender].sub(_value);
AMNToken-35-3.sol;101;require((_value <= balances[_from]));
AMNToken-35-4.sol;102;require((_value <= allowed[_from][msg.sender]));
AMNToken-35-5.sol;103;balances[_from] = balances[_from].sub(_value);
AMNToken-38-1.sol;65;balances[msg.sender] = balances[msg.sender].sub(_value);
AMNToken-38-2.sol;103;balances[_from] = balances[_from].sub(_value);
AMNToken-39-1.sol;65;require((_value <= balances[tx.origin]));
AMNToken-39-2.sol;103;require((_value <= allowed[_from][tx.origin]));
AMNToken-40-4.sol;141;contract AMNToken is BasicToken, StandardToken {
AMNToken-43-1.sol;96;contract StandardToken is BasicToken, ERC20 {
AMNToken-45-1.sol;143;string internal constant name = 'Amon';
AMNToken-45-2.sol;145;string internal constant symbol = 'AMN';
AMNToken-45-3.sol;147;uint8 internal constant decimals = 18;
AMNToken-45-4.sol;149;uint256 internal constant INITIAL_SUPPLY = (((1.6 * (10 ** 9))) * ((uint256(10) ** decimals)));
AMNToken-5-1.sol;152;balances[msg.sender] = totalSupply_;
AMNToken-5-2.sol;153;}
AMNToken-9-1.sol;151;function amntoken() public {
AUX1415g-1-1.sol;54;modifier onlyOwner(){
AUX1415g-1-2.sol;90;function totalSupply() public view returns (uint) {
AUX1415g-12-14.sol;17;require(((int(a) == 0) || ((c / a) == b)));
AUX1415g-12-18.sol;21;require((int(b) > 0));
AUX1415g-16-1.sol;55;owner = 0x0000000000000000000000000000000000000001;
AUX1415g-17-1.sol;6;c = (a - b);
AUX1415g-17-2.sol;12;c = (a + b);
AUX1415g-17-3.sol;16;c = (a / b);
AUX1415g-17-4.sol;22;c = (a * b);
AUX1415g-2-1.sol;1;contract SafeMath {
AUX1415g-35-1.sol;7;}
AUX1415g-35-2.sol;11;c = (a - b);
AUX1415g-35-3.sol;17;}
AUX1415g-35-4.sol;21;c = (a / b);
AUX1415g-36-1.sol;17;require((a == 0));
AUX1415g-36-2.sol;17;require(((c / a) == b));
AUX1415g-38-1.sol;59;_;
AUX1415g-38-2.sol;68;emit OwnershipTransferred(owner, newOwner);
AUX1415g-39-1.sol;59;require((tx.origin == owner));
AUX1415g-39-2.sol;68;require((tx.origin == newOwner));
AUX1415g-40-1.sol;76;contract AUX1415g is ApproveAndCallFallBack, ERC20Interface, Owned, SafeMath {
AUX1415g-42-1.sol;143;}
AUX1415g-43-1.sol;76;contract AUX1415g is Owned, ERC20Interface, SafeMath {
AUX1415g-45-1.sol;48;address internal owner;
AUX1415g-45-2.sol;50;address internal newOwner;
AUX1415g-45-3.sol;78;string internal symbol;
AUX1415g-45-4.sol;80;string internal name;
AUX1415g-45-5.sol;82;uint8 internal decimals;
AUX1415g-45-6.sol;84;uint internal _totalSupply;
AUX1415g-5-1.sol;55;}
AUX1415g-5-2.sol;91;name = 'AKA';
AUX1415g-5-3.sol;92;decimals = 7;
AUX1415g-5-4.sol;93;_totalSupply = 1000000000;
AUX1415g-5-5.sol;94;balances[0x1C200fD1A330c1548e3e867e583ed2CD2fa6EA16] = _totalSupply;
AUX1415g-5-6.sol;95;emit Transfer(address(0), 0x1C200fD1A330c1548e3e867e583ed2CD2fa6EA16, _totalSupply);
